id;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jenis_bencana;jumlah_kejadian;satuan;tahun
77;JAWA BARAT;3210;KABUPATEN MAJALENGKA;KEKERINGAN;0;KEJADIAN;2022
78;JAWA BARAT;3210;KABUPATEN MAJALENGKA;KEBAKARAN HUTAN;0;KEJADIAN;2022
79;JAWA BARAT;3210;KABUPATEN MAJALENGKA;GEMPA BUMI;0;KEJADIAN;2022
80;JAWA BARAT;3210;KABUPATEN MAJALENGKA;TSUNAMI;0;KEJADIAN;2022
81;JAWA BARAT;3211;KABUPATEN SUMEDANG;BANJIR;7;KEJADIAN;2022
82;JAWA BARAT;3211;KABUPATEN SUMEDANG;TANAH LONGSOR;17;KEJADIAN;2022
83;JAWA BARAT;3211;KABUPATEN SUMEDANG;ABRASI;0;KEJADIAN;2022
84;JAWA BARAT;3211;KABUPATEN SUMEDANG;NGIN PUTING BELIUNG;2;KEJADIAN;2022
85;JAWA BARAT;3211;KABUPATEN SUMEDANG;KEKERINGAN;0;KEJADIAN;2022
86;JAWA BARAT;3211;KABUPATEN SUMEDANG;KEBAKARAN HUTAN;0;KEJADIAN;2022
87;JAWA BARAT;3211;KABUPATEN SUMEDANG;GEMPA BUMI;0;KEJADIAN;2022
88;JAWA BARAT;3211;KABUPATEN SUMEDANG;TSUNAMI;0;KEJADIAN;2022
89;JAWA BARAT;3212;KABUPATEN INDRAMAYU;BANJIR;0;KEJADIAN;2022
90;JAWA BARAT;3212;KABUPATEN INDRAMAYU;TANAH LONGSOR;1;KEJADIAN;2022
91;JAWA BARAT;3212;KABUPATEN INDRAMAYU;ABRASI;0;KEJADIAN;2022
92;JAWA BARAT;3212;KABUPATEN INDRAMAYU;NGIN PUTING BELIUNG;6;KEJADIAN;2022
93;JAWA BARAT;3212;KABUPATEN INDRAMAYU;KEKERINGAN;0;KEJADIAN;2022
94;JAWA BARAT;3212;KABUPATEN INDRAMAYU;KEBAKARAN HUTAN;0;KEJADIAN;2022
95;JAWA BARAT;3212;KABUPATEN INDRAMAYU;GEMPA BUMI;0;KEJADIAN;2022
96;JAWA BARAT;3212;KABUPATEN INDRAMAYU;TSUNAMI;0;KEJADIAN;2022
97;JAWA BARAT;3213;KABUPATEN SUBANG;BANJIR;2;KEJADIAN;2022
98;JAWA BARAT;3213;KABUPATEN SUBANG;TANAH LONGSOR;5;KEJADIAN;2022
99;JAWA BARAT;3213;KABUPATEN SUBANG;ABRASI;0;KEJADIAN;2022
100;JAWA BARAT;3213;KABUPATEN SUBANG;NGIN PUTING BELIUNG;24;KEJADIAN;2022
101;JAWA BARAT;3213;KABUPATEN SUBANG;KEKERINGAN;0;KEJADIAN;2022
102;JAWA BARAT;3213;KABUPATEN SUBANG;KEBAKARAN HUTAN;0;KEJADIAN;2022
103;JAWA BARAT;3213;KABUPATEN SUBANG;GEMPA BUMI;0;KEJADIAN;2022
104;JAWA BARAT;3213;KABUPATEN SUBANG;TSUNAMI;0;KEJADIAN;2022
105;JAWA BARAT;3214;KABUPATEN PURWAKARTA;BANJIR;2;KEJADIAN;2022
106;JAWA BARAT;3214;KABUPATEN PURWAKARTA;TANAH LONGSOR;8;KEJADIAN;2022
107;JAWA BARAT;3214;KABUPATEN PURWAKARTA;ABRASI;0;KEJADIAN;2022
108;JAWA BARAT;3214;KABUPATEN PURWAKARTA;NGIN PUTING BELIUNG;7;KEJADIAN;2022
109;JAWA BARAT;3214;KABUPATEN PURWAKARTA;KEKERINGAN;0;KEJADIAN;2022
110;JAWA BARAT;3214;KABUPATEN PURWAKARTA;KEBAKARAN HUTAN;0;KEJADIAN;2022
111;JAWA BARAT;3214;KABUPATEN PURWAKARTA;GEMPA BUMI;0;KEJADIAN;2022
112;JAWA BARAT;3214;KABUPATEN PURWAKARTA;TSUNAMI;0;KEJADIAN;2022
113;JAWA BARAT;3215;KABUPATEN KARAWANG;BANJIR;6;KEJADIAN;2022
114;JAWA BARAT;3215;KABUPATEN KARAWANG;TANAH LONGSOR;0;KEJADIAN;2022
115;JAWA BARAT;3215;KABUPATEN KARAWANG;ABRASI;0;KEJADIAN;2022
116;JAWA BARAT;3215;KABUPATEN KARAWANG;NGIN PUTING BELIUNG;29;KEJADIAN;2022
